session,date,committee,name,location,status,bills_heard,event_id
188,2013-04-09 14:00,J13,"Joint Committee on Children, Families and Persons with Disabilities","Wilmington Public High School, 161 Church Street, Wilmington",Completed,11,549
188,2013-04-11 11:00,J12,Joint Committee on Economic Development and Emerging Technologies,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,13,565
188,2013-04-11 13:00,J11,Joint Committee on Financial Services,"A-2, 24 Beacon Street, Boston",Completed,22,555
188,2013-04-22 10:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","A-2, 24 Beacon Street, Boston",Completed,3,577
188,2013-04-22 12:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","A-2, 24 Beacon Street, Boston",Completed,0,578
188,2013-04-24 13:00,J31,Joint Committee on Veterans and Federal Affairs,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,9,581
188,2013-04-29 13:30,H46,House Committee on Post Audit and Oversight,"A-2, 24 Beacon Street, Boston",Completed,0,588
188,2013-04-30 10:00,J16,Joint Committee on Public Health,"A-2, 24 Beacon Street, Boston",Completed,22,584
188,2013-04-30 13:00,J24,Joint Committee on Health Care Financing,"A-2, 24 Beacon Street, Boston",Completed,15,585
188,2013-05-01 11:00,J10,Joint Committee on Municipalities and Regional Government,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,18,580
188,2013-05-06 10:00,J16,Joint Committee on Public Health,"A-2, 24 Beacon Street, Boston",Completed,4,589
188,2013-05-06 11:00,J44,Joint Committee on Elder Affairs,"Worcester Senior Center, 128 Providence Street, Worcester",Completed,10,591
188,2013-05-07 10:00,J14,Joint Committee on Education,"A-1 (10:00-1:00); Room 222 (1:00-3:00), 24 Beacon Street, Boston",Completed,33,530
188,2013-05-07 10:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","Western New England University, Blake Law Center, Moot Court Room, 1st Floor, Springfield",Completed,23,592
188,2013-05-07 10:00,J28,Joint Committee on Housing,"A-2, 24 Beacon Street, Boston",Completed,16,567
188,2013-05-07 10:30,J26,Joint Committee on Revenue,"A-2, 24 Beacon Street, Boston",Completed,40,590
188,2013-05-07 11:00,J30,"Joint Committee on Tourism, Arts and Cultural Development","Wilmington Public High School, 161 Church Street, Wilmington",Completed,2,576
188,2013-05-07 12:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","Western New England University, Blake Law Center, Moot Court Room, 1st Floor, Springfield",Completed,0,593
188,2013-05-07 13:00,J13,"Joint Committee on Children, Families and Persons with Disabilities","Wilmington Public High School, 161 Church Street, Wilmington",Completed,12,595
188,2013-05-07 13:00,J17,Joint Committee on Consumer Protection and Professional Licensure,"A-2, 24 Beacon Street, Boston",Completed,15,582
188,2013-05-07 13:00,J19,Joint Committee on the Judiciary,"A-2, 24 Beacon Street, Boston",Completed,75,599
188,2013-05-08 11:00,H32,"House Committee on Bonding, Capital Expenditures and State Assets","A-2, 24 Beacon Street, Boston",Completed,0,583
188,2013-05-08 13:30,J11,Joint Committee on Financial Services,"A-2, 24 Beacon Street, Boston",Completed,19,586
188,2013-05-09 10:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","A-2, 24 Beacon Street, Boston",Completed,14,596
188,2013-05-09 10:00,J47,Joint Committee on Community Development and Small Businesses,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,8,653
188,2013-05-09 12:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","A-2, 24 Beacon Street, Boston",Completed,0,597
188,2013-05-14 10:00,J14,Joint Committee on Education,"A-1 (10:00 - 1:00); Gardner Auditorium (1:00-3:00), 24 Beacon Street, Boston",Completed,15,531
188,2013-05-14 10:00,J16,Joint Committee on Public Health,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,23,603
188,2013-05-14 10:00,J28,Joint Committee on Housing,"A-2, 24 Beacon Street, Boston",Completed,15,568
188,2013-05-14 10:30,J26,Joint Committee on Revenue,"A-2, 24 Beacon Street, Boston",Completed,47,608
188,2013-05-14 11:00,J23,Joint Committee on Public Service,"Western New England University, Blake Law Center, Moot Court Room, 1st Floor, Springfield",Completed,38,600
188,2013-05-14 13:00,J11,Joint Committee on Financial Services,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,21,587
188,2013-05-14 13:00,J17,Joint Committee on Consumer Protection and Professional Licensure,"A-2, 24 Beacon Street, Boston",Completed,10,611
188,2013-05-14 13:00,J18,Joint Committee on Mental Health and Substance Abuse,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,13,570
188,2013-05-14 14:00,J10,Joint Committee on Municipalities and Regional Government,"A-1 (10:00-1:00); Room 222 (1:00-3:00), 24 Beacon Street, Boston",Completed,21,609
188,2013-05-15 10:30,J29,Joint Committee on Higher Education,"A-2, 24 Beacon Street, Boston",Completed,10,546
188,2013-05-15 11:00,J12,Joint Committee on Economic Development and Emerging Technologies,"A-1 (10:00-1:00); Room 222 (1:00-3:00), 24 Beacon Street, Boston",Completed,2,606
188,2013-05-15 13:00,J25,Joint Committee on State Administration and Regulatory Oversight,"A-2, 24 Beacon Street, Boston",Completed,39,604
188,2013-05-15 13:00,J31,Joint Committee on Veterans and Federal Affairs,"Hanover High School, 287 Cedar St., Hanover",Completed,7,612
